"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load"
"9AX-Bayshore A Express to Kearny & Pacific Weekday",,,,,,
"Phelan Loop At Sfcc N-MB","72","0","421","72","0","421"
"Ocean Ave&Geneva Ave SW-NS/SI","21","0","442","21","0","442",,,,,,,,,,,,,,,
"Geneva Ave&Howth St S-FS","0","0","442","0","0","442"
"Geneva Balboa Bart Station SW-MB/BZ","65","48","459","65","48","459"
"Geneva Ave&Delano Ave W-NS/BZ","1","0","460","1","0","460"
"Geneva & Cayuga S-FS/BZ","9","5","464","9","5","464"
"Geneva Ave&Mission St W-NS/BZ","82","36","510","82","36","510"
"Geneva Ave&Paris St W-NS","11","2","519","11","2","519"
"Geneva Ave&Madrid St S-FS/BZ","13","4","528","13","4","528"
"Geneva Ave&Naples St S-FS/BZ","32","8","552","32","8","552"
"Geneva Ave&Munich St W-NS/BZ","34","12","574","34","12","574"
"1650 Geneva Ave S-MB","4","1","577","4","1","577"
"1750 Geneva Ave S-FS/BZ","5","1","581","5","1","581"
"Geneva Ave&Carter SE-FS/BZ","20","7","594","20","7","594"
"Geneva Ave&Esquina Dr W-NS/BZ","0","0","594","0","0","594"
"Geneva Ave&Santos St S-FS","14","37","571","14","37","571"
"San Bruno Ave&Arleta Ave NE-FS/BZ","114","94","591","114","94","591"
"San Bruno Ave&Somerset St  E-MI","14","0","605","14","0","605"
"3801 San Bruno Ave SE-MB","28","0","633","28","0","633"
"San Bruno Ave&Wilde Ave N-FS/BZ","57","4","686","57","4","686"
"San Bruno Ave&Ward St NE-FS/BZ","25","0","711","25","0","711"
"San Bruno Ave&Mansell St E-NS/BZ","78","18","771","78","18","771"
"San Bruno Ave&Paul Ave SE-NS","149","14","906","149","14","906"
"San Bruno Ave&Wayland St E-NS/BZ","113","16","1003","113","16","1003"
"Bacon St&San Bruno Ave E-FS/BZ","122","47","1078","122","47","1078"
"Bay Shore Blvd&Carroll Ave SE-NS","67","7","1138","67","7","1138"
"Bay Shore Blvd&Silver Ave N-FS","103","36","1205","103","36","1205"
"Bryant St&6th St NE-FS/BZ","18","64","1159","18","64","1159"
"Bryant St&5th St E-FS/BZ","1","5","1155","1","5","1155"
"Bryant St&4th St S-NS","6","18","1143","6","18","1143"
"3rd St&Perry St E-NS/BZ","20","137","1026","20","137","1026"
"3rd St&Folsom St N-FS/BZ","12","21","1017","12","21","1017"
"3rd St&Howard St E-NS/BZ","9","36","990","9","36","990"
"3rd St&Market St NE-MB/BZ","91","301","780","91","301","780"
"Kearny St&Geary Blvd NE-FS/BZ","82","58","804","82","58","804"
"Kearny St&Sutter St SE-NS/BZ","31","45","790","31","45","790"
"Kearny St&Bush St NE-FS/BZ","17","41","766","17","41","766"
"Kearny St&California St NE-FS/BZ","4","150","620","4","150","620"
"Kearny St&Clay St NE-FS/BZ","10","223","407","10","223","407"
"Kearny St&Jackson St SE-NS/BZ","2","110","299","2","110","299"
"Kearny St&Pacific Ave NE-FS","0","299","0","0","299","0"
"Total Passenger Boardings ","1556","1905",,"1556","1905",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load"
"9AX-Bayshore A Express to Geneva & Mission Weekday",,,,,,,,,
"Kearny St&Pacific Ave NE-FS","134","0","690","17","0","48","117","0","642"
"Broadway&Grant Ave NW-FS","121","4","807","9","1","56","112","3","751"
"Stockton St&Pacific Ave W-MB/BB","319","16","1110","23","1","78","296","15","1032"
"Stockton St&Washington St W-MB","165","24","1251","7","2","83","158","22","1168"
"Stockton St&Sacramento St W-MB","100","27","1324","1","1","83","99","26","1241"
"Stockton St&Sutter St NW-NS/BB","24","29","1319","1","0","84","23","29","1235"
"Stockton St&Geary Blvd NW-NS/SI","55","90","1284","2","3","83","53","87","1201"
"4th St&Market St S-FS/BZ","294","291","1287","12","13","82","282","278","1205"
"4th St&Mission St S-FS/BZ","28","14","1301","1","0","83","27","14","1218"
"4th St&Howard St S-FS/BZ","30","32","1299","1","1","83","29","31","1216"
"4th St&Folsom St S-FS/BZ","13","28","1284","1","2","82","12","26","1202"
"Harrison St&4th St W-FS/BZ","18","15","1287","0","0","82","18","15","1205"
"Harrison St&5th St W-FS/BZ","10","2","1295","0","0","82","10","2","1213"
"Harrison St&6th St W-FS/BZ","46","19","1322","8","1","89","38","18","1233"
"San Bruno Ave&Felton St W-NS/BZ","109","388","1043","7","32","64","102","356","979"
"San Bruno Ave&Bacon St SW-NS/BZ","55","312","786","5","20","49","50","292","737"
"San Bruno Ave&Woolsey St W-NS/BZ","15","60","741","0","7","42","15","53","699"
"San Bruno Ave&Dwight St W-NS/BZ","16","101","656","0","7","35","16","94","621"
"San Bruno Ave&Mansell St W-NS","8","83","581","0","7","28","8","76","553"
"San Bruno Ave&Ward St SW-MI/BZ","1","28","554","0","2","26","1","26","528"
"San Bruno Ave&Wilde Ave W-NS/BZ","4","69","489","0","4","22","4","65","467"
"3800 San Bruno Ave N-MB","2","33","458","0","3","19","2","30","439"
"San Bruno Ave&Somerset St NW-NS","0","17","441","0","0","19","0","17","422"
"Bay Shore Blvd&Arleta Ave W-FS","57","133","365","5","5","19","52","128","346"
"Geneva Ave&Santos St N-FS/BZ","40","68","337","1","5","15","39","63","322"
"Geneva Ave&Carter St NE-NS/BZ","13","17","333","1","2","14","12","15","319"
"1721 Geneva Ave NE-MB","2","9","326","0","0","14","2","9","312"
"1650 Geneva Ave N-FS","2","2","326","0","0","14","2","2","312"
"Geneva Ave&Prague St E-NS/BZ","4","24","306","0","1","13","4","23","293"
"Geneva Ave&Moscow St N-FS/BZ","5","25","286","0","1","12","5","24","274"
"Geneva Ave&Naples St E-NS/BZ","11","28","269","1","1","12","10","27","257"
"Geneva Ave&Madrid St N-FS/BZ","6","9","266","1","0","13","5","9","253"
"Geneva Ave&Paris St E-NS","1","15","252","0","1","12","1","14","240"
"Geneva Ave&Mission St E-NS","41","114","179","3","6","9","38","108","170"
"Geneva Ave&Cayuga Ave E-NS/BZ","5","14","170","0","1","8","5","13","162"
"Geneva Ave&Delano Ave N-FS/BZ","1","6","165","0","0","8","1","6","157"
"Geneva Balboa Bart Station NE-MB/BZ","73","93","145","3","6","5","70","87","140"
"Geneva Ave&Howth St E-NS/BZ","0","32","113","0","1","4","0","31","109"
"Phelan Loop N-MB/FL","0","113","0","0","4","0","0","109","0"
"Total Passenger Boardings ","1828","2384",,"110","141",,"1718","2243",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,
