"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"61-California (Cable Car) to California & Drumm",,,,,,,,,,,,,,,,,,,,,
"California St&Van Ness Ave","1452","0","1457","192","0","193","596","0","597","207","0","208","280","0","280","156","0","156","21","0","23"
"California St&Polk St SW-NS","100","1","1556","20","0","213","35","1","631","17","0","225","10","0","290","10","0","166","8","0","31"
"California St&Larkin St SW-NS","136","2","1690","55","0","268","38","0","669","22","2","245","10","0","300","9","0","175","2","0","33"
"California St&Hyde St S-MI","257","53","1894","64","1","331","102","21","750","32","9","268","29","14","315","21","4","192","9","4","38"
"California St&Leavenworth St S-MI","88","29","1953","33","1","363","28","12","766","5","2","271","17","10","322","3","1","194","2","3","37"
"California St&Jones St S-MI","99","42","2010","38","2","399","25","10","781","12","11","272","14","12","324","5","6","193","5","1","41"
"California St&Taylor St SW-NS","51","53","2008","11","3","407","13","19","775","6","16","262","19","6","337","1","8","186","1","1","41"
"California St&Mason St SW-NS","99","75","2032","14","8","413","42","31","786","11","11","262","24","19","342","4","5","185","4","1","44"
"California St&Powell St SW-NS","264","380","1916","31","27","417","92","179","699","42","49","255","65","71","336","29","41","173","5","13","36"
"California St&Stockton St S-MI","50","98","1868","11","9","419","20","45","674","11","20","246","4","17","323","4","6","171","0","1","35"
"California St&Grant Ave S-MI","187","322","1733","5","24","400","65","120","619","40","35","251","47","69","301","25","73","123","5","1","39"
"California St&Kearny St SE-FS","56","128","1661","5","32","373","22","58","583","17","12","256","7","12","296","4","10","117","1","4","36"
"California St&Montgomery St SW-NS","33","148","1546","5","57","321","20","47","556","2","13","245","1","23","274","5","7","115","0","1","35"
"California St&Sansome St SW","12","84","1474","0","33","288","9","35","530","2","6","241","0","5","269","1","4","112","0","1","34"
"California St&Battery St SE-FS","6","101","1379","1","51","238","2","27","505","2","6","237","1","4","266","0","6","106","0","7","27"
"California St&Front St SW-NS","2","82","1299","0","33","205","0","31","474","0","0","237","2","3","265","0","13","93","0","2","25"
"California St&Davis St SW-NS","0","384","915","0","28","177","0","41","433","0","43","194","0","217","48","0","52","41","0","3","22"
"California St&Davis St S-MB/FL","0","626","289","0","64","113","0","277","156","0","194","0","0","30","18","0","41","0","0","20","2"
"California St&Drumm St NE-NS","0","284","5","0","112","1","0","155","1","0","0","0","0","17","1","0","0","0","0","0","2"
"Total Passenger Boardings ","2892","2892",,"485","485",,"1109","1109",,"428","429",,"530","529",,"277","277",,"63","63",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"61-California (Cable Car) to California & Van Ness",,,,,,,,,,,,,,,,,,,,,
"California St&Drumm St NE-NS","1869","0","1879","105","0","109","617","0","621","355","0","356","539","0","539","215","0","216","38","0","38"
"California St&Davis St NE-NS","103","5","1977","5","0","114","19","0","640","13","0","369","40","3","576","21","2","235","5","0","43"
"California St&Front St NE-NS","93","1","2069","8","0","122","22","0","662","13","0","382","25","1","600","18","0","253","7","0","50"
"California St&Battery St NE-NS","109","1","2177","5","0","127","30","0","692","13","0","395","36","0","636","23","1","275","2","0","52"
"California St&Sansome St NE-NS","149","4","2322","6","0","133","55","3","744","17","0","412","36","1","671","31","0","306","4","0","56"
"California St&Montgomery St NE-NS","119","28","2413","2","3","132","52","13","783","16","3","425","36","6","701","12","3","315","1","0","57"
"California St&Kearny St NE-NS","265","44","2634","6","2","136","64","17","830","42","12","455","75","6","770","66","5","376","12","2","67"
"California St&Grant Ave N-MI","452","249","2837","5","13","128","164","106","888","94","40","509","75","63","782","106","27","455","8","0","75"
"California St&Stockton St N-MI","68","102","2803","4","4","128","26","43","871","14","19","504","9","24","767","13","7","461","2","5","72"
"California St&Powell St NW-FS","300","670","2433","12","22","118","84","273","682","43","123","424","60","154","673","77","87","451","24","11","85"
"California St&Mason St NW-FS","45","328","2150","0","15","103","18","106","594","6","72","358","12","74","611","5","49","407","4","12","77"
"California St&Taylor St NE-NS","35","187","1998","0","27","76","18","61","551","6","36","328","7","43","575","3","19","391","1","1","77"
"California St&Jones St N-MI","13","112","1899","1","3","74","5","24","532","5","19","314","1","36","540","1","23","369","0","7","70"
"California St&Leavenworth St NE-NS","17","143","1773","2","2","74","4","25","511","3","21","296","8","57","491","0","33","336","0","5","65"
"California St&Hyde St NW-FS","37","233","1577","11","7","78","10","63","458","5","34","267","5","73","423","6","43","299","0","13","52"
"California St&Larkin St NE-NS","13","55","1535","6","2","82","1","9","450","2","10","259","3","22","404","0","8","291","1","4","49"
"California St&Polk St NE-NS","17","222","1330","4","10","76","6","74","382","0","39","220","4","63","345","3","31","263","0","5","44"
"California St&Van Ness Ave NE-NS/SI","0","1324","6","0","75","1","0","382","0","0","219","1","0","344","1","0","261","2","0","43","1"
"Total Passenger Boardings ","3704","3708",,"182","185",,"1195","1199",,"647","647",,"971","970",,"600","599",,"109","108",
"Subject to disclaimer at www.sfmta.com/tepdata"
,,,,,,,,,,,,,,,,,,,,,
