"Daily On","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"M-line to Embarcadero",,,,,,,,,,,,,,,,,,,,,
"Green Division Yard Outbound-NS/SI","6","0","6","2","0","2",,,,"0","0","0","4","0","4",,,,"0","0","0"
"GENEVA TERMINAL","602","3","621","63","0","65","125","0","136","168","0","169","232","3","236","12","0","13","2","0","2"
"San Jose Ave&Geneva Ave SW-FS/SI","997","3","1615","100","1","164","367","2","501","186","0","355","249","0","485","91","0","104","4","0","6"
"San Jose Ave&Mt Vernon Ave N-NS/FL","30","9","1636","17","0","181","9","4","506","1","1","355","3","4","484","0","0","104","0","0","6"
"San Jose Ave&Lakeview Ave N-NS","101","97","1640","16","5","192","38","16","528","9","33","331","26","35","475","7","7","104","5","1","10"
"San Jose Ave&Farallones St N-NS","48","76","1612","23","2","213","16","15","529","6","16","321","1","36","440","2","7","99","0","0","10"
"Broad St&Plymouth Ave NE-NS","267","196","1683","102","11","304","105","36","598","36","41","316","10","87","363","5","20","84","9","1","18"
"Broad St&Capitol Ave NE-NS","233","149","1767","59","8","355","62","25","635","55","45","326","44","60","347","6","11","79","7","0","25"
"Broad St&Orizaba Ave NE-NS","112","70","1809","30","8","377","44","11","668","15","16","325","11","31","327","3","4","78","9","0","34"
"Randolph St&Bright St NE-NS","190","134","1865","78","12","443","61","29","700","18","34","309","24","54","297","2","4","76","7","1","40"
"Randolph St&Arch St NE-NS","261","115","2011","95","10","528","94","18","776","28","32","305","25","48","274","5","7","74","14","0","54"
"19th Ave&Randolph St N-FS","175","54","2132","61","10","579","66","14","828","16","8","313","18","16","276","2","6","70","12","0","66"
"19th Ave&Junipero Serra Blvd E-NS","159","48","2243","77","13","643","41","13","856","23","9","327","7","9","274","4","4","70","7","0","73"
"19th Ave&Holloway Ave NE-FS/SI","3488","610","5121","377","183","837","1198","277","1777","878","65","1140","778","74","978","201","8","263","56","3","126"
"19th Ave&Winston Dr NE-FS","1077","273","5925","173","28","982","373","99","2051","246","79","1307","214","56","1136","60","10","313","11","1","136"
"Right Of Way&Eucalyptus Dr SE-NS","372","89","6208","62","38","1006","70","33","2088","179","10","1476","43","4","1175","1","3","311","17","1","152"
"Right Of Way&Ocean Ave S-NS","99","51","6256","31","11","1026","26","17","2097","23","12","1487","16","10","1181","2","1","312","1","0","153"
"Right Of Way&Sloat Blvd SE-NS","17","24","6249","0","0","1026","7","9","2095","7","3","1491","3","11","1173","0","1","311","0","0","153"
"Saint Francis Circle NE-FS/SI","276","116","6409","136","10","1152","72","32","2135","25","37","1479","25","23","1175","4","14","301","14","0","167"
"West Portal Ave&14th Ave S-NS/SI","133","165","6377","54","14","1192","46","87","2094","21","31","1469","11","26","1160","0","5","296","1","2","166"
"West Portal Ave&Ulloa St","73","26","6424","31","4","1219","27","10","2111","2","7","1464","11","5","1166","2","0","298","0","0","166"
"West Portal Station S-NS/SI","860","447","6681","307","50","1358","265","147","2229","94","125","1433","146","91","1221","15","31","282","33","3","158"
"Forest Hill Station Inbound","612","404","6889","220","52","1526","213","118","2324","67","113","1387","79","109","1191","16","10","288","17","2","173"
"Castro Station Inbound","1586","552","7923","661","53","2134","505","182","2647","123","155","1355","194","124","1261","58","34","312","45","4","214"
"Church St Station Intbound","995","610","8308","342","54","2422","328","183","2792","83","161","1277","163","159","1265","50","43","319","29","10","233"
"Van Ness Station Inbound","850","1089","8069","210","218","2414","285","367","2710","115","207","1185","195","205","1255","24","67","276","21","25","229"
"Civic Center Station Inbound","523","1420","7172","144","373","2185","196","430","2476","42","213","1014","117","297","1075","9","69","216","15","38","206"
"Powell Station Inbound","362","2641","4893","34","470","1749","163","1020","1619","51","486","579","104","530","649","8","92","132","2","43","165"
"Montgomery Station Inbound","170","2579","2484","13","960","802","78","880","817","15","303","291","61","275","435","3","80","55","0","81","84"
"Embarcadero Station Inbound","1","2464","21","0","802","0","0","801","16","1","291","1","0","432","3","0","54","1","0","84","0"
"Total Passenger Boardings ","14675","14514",,"3518","3400",,"4880","4875",,"2533","2533",,"2814","2814",,"592","592",,"338","300",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
"Stop","Daily On","Daily Off","Daily Load","AM Peak On","AM Peak Off","AM Peak Load","Midday On","Midday Off","Midday Load","School  On","School Off","School Load","PM Peak On","PM Peak Off","PM Peak Load","Evening On","Evening Off","Evening Load","Owl On","Owl Off","Owl Load"
"M-line to Balboa Park",,,,,,,,,,,,,,,,,,,,,
"Embarcadero Station ARR","2366","2","2385","192","0","201","478","2","478","318","0","318","1099","0","1099","275","0","285","4","0","4"
"Montgomery Station Outbound","1732","111","4006","85","12","274","330","72","736","328","16","630","768","10","1857","221","0","506","0","1","3"
"Powell Station Outbound","2736","297","6445","248","16","506","815","123","1428","528","53","1105","823","85","2595","320","19","807","2","1","4"
"Civic Center Station Outbound","1308","396","7357","228","58","676","348","148","1628","206","69","1242","383","89","2889","142","32","917","1","0","5"
"Van Ness Station OB","1061","628","7790","109","145","640","371","201","1798","215","98","1359","275","127","3037","91","57","951","0","0","5"
"Church St Station Outbound","696","769","7717","102","40","702","243","180","1861","131","142","1348","161","288","2910","58","117","892","1","2","4"
"Castro Station Outbound","486","1365","6838","81","58","725","185","255","1791","77","223","1202","107","568","2449","35","260","667","1","1","4"
"Forest Hill Station Outbound","379","721","6496","69","78","716","154","121","1824","53","118","1137","88","331","2206","14","73","608","1","0","5"
"West Portal Station N-FS","832","1317","6011","61","102","675","246","226","1844","220","212","1145","252","646","1812","52","130","530","1","1","5"
"West Portal Ave&14th Ave N-NS/SI","109","106","6014","8","16","667","60","25","1879","10","6","1149","21","51","1782","10","7","533","0","1","4"
"Saint Francis Circle NW-NS/SI","182","300","5896","16","19","664","56","41","1894","36","82","1103","47","139","1690","27","19","541","0","0","4"
"Right Of Way&Sloat Blvd SW-FS","23","45","5874","6","4","666","1","5","1890","15","13","1105","1","9","1682","0","14","527","0","0","4"
"Right Of Way&Ocean Ave N-NS","68","182","5760","7","62","611","24","39","1875","25","20","1110","12","53","1641","0","8","519","0","0","4"
"Right Of Way&Eucalyptus Dr NW-NS","65","257","5568","1","98","514","10","40","1845","33","22","1121","15","54","1602","6","43","482","0","0","4"
"19th Ave&Winston Dr NW-NS/SI","378","1087","4859","23","49","488","76","267","1654","116","300","937","134","383","1353","29","88","423","0","0","4"
"19th Ave&Holloway Ave NW-NS/SI","757","2866","2750","62","398","152","227","1165","716","193","421","709","195","669","879","79","212","290","1","1","4"
"19th Ave&N Randolph St NW-NS","54","199","2605","21","15","158","3","32","687","15","58","666","5","71","813","10","23","277","0","0","4"
"19th Ave&Randolph St NW-NS","59","193","2471","30","12","176","14","52","649","4","38","632","7","76","744","4","15","266","0","0","4"
"Randolph St&Arch St SW-NS","118","297","2292","51","6","221","16","59","606","26","97","561","21","101","664","0","34","232","4","0","8"
"Randolph St&Bright St SW-NS","116","292","2116","47","8","260","25","62","569","11","71","501","22","136","550","5","15","222","6","0","14"
"Orizaba Ave&Broad St NW-NS","79","119","2076","41","11","290","23","30","562","2","33","470","12","37","525","1","8","215","0","0","14"
"Broad St&Capitol Ave SW-NS","113","263","1926","50","19","321","31","54","539","6","69","407","26","99","452","0","22","193","0","0","14"
"Broad St&Plymouth Ave SW-NS","230","346","1810","82","27","376","44","82","501","42","96","353","55","100","407","4","37","160","3","4","13"
"San Jose Ave&Farallones St S-NS","15","76","1749","3","2","377","3","9","495","6","30","329","2","14","395","0","19","141","1","2","12"
"San Jose Ave&Lakeview Ave S-NS","30","112","1667","13","3","387","8","25","478","7","25","311","2","58","339","0","1","140","0","0","12"
"San Jose Ave&Mt Vernon Ave S-NS","3","21","1649","2","3","386","1","4","475","0","6","305","0","8","331","0","0","140","0","0","12"
"San Jose Ave&Niagra Ave S-NS","0","743","906","0","165","221","0","276","199","0","123","182","0","144","187","0","35","105","0","0","12"
"GNVATERM","1","775","17","1","213","9","0","186","2","0","182","0","0","132","4","0","50","2","0","12","0"
"Green Division Yard Outbound","0","115","0",,,,"0","11","0",,,,"0","51","0","0","53","0",,,
"Total Passenger Boardings ","13996","14000",,"1639","1639",,"3792","3792",,"2623","2623",,"4533","4529",,"1383","1391",,"26","26",
"Subject to disclaimer at www.sfmta.com/tepdata",,,,,,,,,,,,,,,,,,,,,
